file_name,duration_of_speech,count_of_speech,speech_timestamps,mean_speach_duration,duration_of_silence,count_of_silence,silence_timestamps,mean_silence_duration
A-1234-RAT-1-robb.wav,43.379999999999995,9,"[{'start': 5.1, 'end': 13.4}, {'start': 15.0, 'end': 15.6}, {'start': 16.9, 'end': 17.7}, {'start': 20.8, 'end': 21.7}, {'start': 23.9, 'end': 27.8}, {'start': 30.6, 'end': 33.9}, {'start': 39.4, 'end': 41.4}, {'start': 44.5, 'end': 59.9}, {'start': 61.1, 'end': 69.28}]",4.819999999999999,25.900000000000006,10,"[{'start': 0, 'end': 5.1}, {'start': 13.4, 'end': 1.5999999999999996}, {'start': 15.6, 'end': 1.299999999999999}, {'start': 17.7, 'end': 3.1000000000000014}, {'start': 21.7, 'end': 2.1999999999999993}, {'start': 27.8, 'end': 2.8000000000000007}, {'start': 33.9, 'end': 5.5}, {'start': 41.4, 'end': 3.1000000000000014}, {'start': 59.9, 'end': 1.2000000000000028}, {'start': 69.28, 'end': 0.0}]",2.5900000000000007
A-1309-RAT-1-bike.wav,89.75812500000005,29,"[{'start': 2.5, 'end': 8.9}, {'start': 13.0, 'end': 14.9}, {'start': 18.4, 'end': 20.6}, {'start': 26.6, 'end': 27.7}, {'start': 28.8, 'end': 30.6}, {'start': 32.3, 'end': 35.2}, {'start': 38.4, 'end': 43.9}, {'start': 45.0, 'end': 47.4}, {'start': 55.1, 'end': 59.0}, {'start': 62.0, 'end': 64.3}, {'start': 67.0, 'end': 72.7}, {'start': 75.0, 'end': 80.0}, {'start': 83.3, 'end': 85.0}, {'start': 100.8, 'end': 106.4}, {'start': 108.3, 'end': 109.3}, {'start': 110.5, 'end': 112.7}, {'start': 115.0, 'end': 116.7}, {'start': 121.7, 'end': 127.7}, {'start': 135.1, 'end': 137.4}, {'start': 141.0, 'end': 142.6}, {'start': 144.2, 'end': 148.4}, {'start': 157.6, 'end': 161.8}, {'start': 176.4, 'end': 178.0}, {'start': 182.3, 'end': 185.8}, {'start': 187.1, 'end': 188.6}, {'start': 198.1, 'end': 201.7}, {'start': 203.1, 'end': 205.0}, {'start': 215.8, 'end': 220.3}, {'start': 221.4, 'end': 222.958125}]",3.095107758620691,133.19999999999993,30,"[{'start': 0, 'end': 2.5}, {'start': 8.9, 'end': 4.1}, {'start': 14.9, 'end': 3.4999999999999982}, {'start': 20.6, 'end': 6.0}, {'start': 27.7, 'end': 1.1000000000000014}, {'start': 30.6, 'end': 1.6999999999999957}, {'start': 35.2, 'end': 3.1999999999999957}, {'start': 43.9, 'end': 1.1000000000000014}, {'start': 47.4, 'end': 7.700000000000003}, {'start': 59.0, 'end': 3.0}, {'start': 64.3, 'end': 2.700000000000003}, {'start': 72.7, 'end': 2.299999999999997}, {'start': 80.0, 'end': 3.299999999999997}, {'start': 85.0, 'end': 15.799999999999997}, {'start': 106.4, 'end': 1.8999999999999915}, {'start': 109.3, 'end': 1.2000000000000028}, {'start': 112.7, 'end': 2.299999999999997}, {'start': 116.7, 'end': 5.0}, {'start': 127.7, 'end': 7.3999999999999915}, {'start': 137.4, 'end': 3.5999999999999943}, {'start': 142.6, 'end': 1.5999999999999943}, {'start': 148.4, 'end': 9.199999999999989}, {'start': 161.8, 'end': 14.599999999999994}, {'start': 178.0, 'end': 4.300000000000011}, {'start': 185.8, 'end': 1.299999999999983}, {'start': 188.6, 'end': 9.5}, {'start': 201.7, 'end': 1.4000000000000057}, {'start': 205.0, 'end': 10.800000000000011}, {'start': 220.3, 'end': 1.0999999999999943}, {'start': 222.958125, 'end': 0.0}]",4.439999999999998
A-1145-RAT-1-bike.wav,43.0,2,"[{'start': 4.8, 'end': 10.4}, {'start': 13.9, 'end': 51.3}]",21.5,8.339374999999997,3,"[{'start': 0, 'end': 4.8}, {'start': 10.4, 'end': 3.5}, {'start': 51.3, 'end': 0.039374999999999716}]",2.7797916666666658
A-1334-RAT-1-bike.wav,24.955624999999998,2,"[{'start': 2.8, 'end': 18.6}, {'start': 21.1, 'end': 30.255625}]",12.477812499999999,5.300000000000001,3,"[{'start': 0, 'end': 2.8}, {'start': 18.6, 'end': 2.5}, {'start': 30.255625, 'end': 0.0}]",1.7666666666666668
A-394-RAT-1-bike.wav,16.3,5,"[{'start': 1.7, 'end': 3.7}, {'start': 6.0, 'end': 8.8}, {'start': 10.0, 'end': 19.0}, {'start': 21.4, 'end': 22.4}, {'start': 26.0, 'end': 27.5}]",3.2600000000000002,11.239999999999998,6,"[{'start': 0, 'end': 1.7}, {'start': 3.7, 'end': 2.3}, {'start': 8.8, 'end': 1.1999999999999993}, {'start': 19.0, 'end': 2.3999999999999986}, {'start': 22.4, 'end': 3.6000000000000014}, {'start': 27.5, 'end': 0.03999999999999915}]",1.873333333333333
A-852-RAT-2-bike.wav,20.2,5,"[{'start': 1.6, 'end': 3.5}, {'start': 7.8, 'end': 11.8}, {'start': 14.1, 'end': 21.0}, {'start': 22.8, 'end': 28.3}, {'start': 31.0, 'end': 32.9}]",4.04,12.720000000000002,6,"[{'start': 0, 'end': 1.6}, {'start': 3.5, 'end': 4.3}, {'start': 11.8, 'end': 2.299999999999999}, {'start': 21.0, 'end': 1.8000000000000007}, {'start': 28.3, 'end': 2.6999999999999993}, {'start': 32.9, 'end': 0.020000000000003126}]",2.1200000000000006
A-1236-RAT-2-robb.wav,67.1,17,"[{'start': 8.4, 'end': 13.3}, {'start': 15.3, 'end': 17.8}, {'start': 20.3, 'end': 21.7}, {'start': 23.2, 'end': 23.8}, {'start': 25.8, 'end': 28.4}, {'start': 29.7, 'end': 31.0}, {'start': 32.9, 'end': 35.6}, {'start': 37.9, 'end': 44.4}, {'start': 45.8, 'end': 48.8}, {'start': 50.0, 'end': 51.7}, {'start': 53.6, 'end': 63.8}, {'start': 65.3, 'end': 72.6}, {'start': 74.8, 'end': 76.8}, {'start': 78.9, 'end': 83.4}, {'start': 84.6, 'end': 87.5}, {'start': 89.7, 'end': 91.8}, {'start': 94.9, 'end': 105.8}]",3.9470588235294115,38.72,18,"[{'start': 0, 'end': 8.4}, {'start': 13.3, 'end': 2.0}, {'start': 17.8, 'end': 2.5}, {'start': 21.7, 'end': 1.5}, {'start': 23.8, 'end': 2.0}, {'start': 28.4, 'end': 1.3000000000000007}, {'start': 31.0, 'end': 1.8999999999999986}, {'start': 35.6, 'end': 2.299999999999997}, {'start': 44.4, 'end': 1.3999999999999986}, {'start': 48.8, 'end': 1.2000000000000028}, {'start': 51.7, 'end': 1.8999999999999986}, {'start': 63.8, 'end': 1.5}, {'start': 72.6, 'end': 2.200000000000003}, {'start': 76.8, 'end': 2.1000000000000085}, {'start': 83.4, 'end': 1.1999999999999886}, {'start': 87.5, 'end': 2.200000000000003}, {'start': 91.8, 'end': 3.1000000000000085}, {'start': 105.8, 'end': 0.01999999999999602}]",2.151111111111111
A-232-RAT-1-robb.wav,23.4,4,"[{'start': 7.7, 'end': 9.0}, {'start': 11.6, 'end': 13.2}, {'start': 19.9, 'end': 32.8}, {'start': 34.1, 'end': 41.7}]",5.85,21.020000000000003,5,"[{'start': 0, 'end': 7.7}, {'start': 9.0, 'end': 2.5999999999999996}, {'start': 13.2, 'end': 6.699999999999999}, {'start': 32.8, 'end': 1.3000000000000043}, {'start': 41.7, 'end': 2.719999999999999}]",4.204000000000001
A-215-RAT-1-robb.wav,52.899999999999984,12,"[{'start': 5.1, 'end': 6.0}, {'start': 14.5, 'end': 16.0}, {'start': 19.3, 'end': 24.3}, {'start': 29.1, 'end': 34.4}, {'start': 38.0, 'end': 42.9}, {'start': 44.6, 'end': 50.7}, {'start': 51.9, 'end': 58.4}, {'start': 60.2, 'end': 64.2}, {'start': 70.2, 'end': 72.7}, {'start': 74.7, 'end': 75.7}, {'start': 77.4, 'end': 79.6}, {'start': 81.2, 'end': 94.2}]",4.408333333333332,41.320000000000014,13,"[{'start': 0, 'end': 5.1}, {'start': 6.0, 'end': 8.5}, {'start': 16.0, 'end': 3.3000000000000007}, {'start': 24.3, 'end': 4.800000000000001}, {'start': 34.4, 'end': 3.6000000000000014}, {'start': 42.9, 'end': 1.7000000000000028}, {'start': 50.7, 'end': 1.1999999999999957}, {'start': 58.4, 'end': 1.8000000000000043}, {'start': 64.2, 'end': 6.0}, {'start': 72.7, 'end': 2.0}, {'start': 75.7, 'end': 1.7000000000000028}, {'start': 79.6, 'end': 1.6000000000000085}, {'start': 94.2, 'end': 0.01999999999999602}]",3.17846153846154
A-197-RAT-2-bike.wav,38.8,2,"[{'start': 10.5, 'end': 27.3}, {'start': 31.1, 'end': 53.1}]",19.4,18.520000000000003,3,"[{'start': 0, 'end': 10.5}, {'start': 27.3, 'end': 3.8000000000000007}, {'start': 53.1, 'end': 4.219999999999999}]",6.173333333333335
