file_name,duration_of_speech,count_of_speech,speech_timestamps,mean_speach_duration,duration_of_silence,count_of_silence,silence_timestamps,mean_silence_duration
N-0970-RAT-1-bike.wav,105.80000000000001,7,"[{'start': 2.2, 'end': 35.5}, {'start': 36.6, 'end': 41.7}, {'start': 44.7, 'end': 52.7}, {'start': 54.1, 'end': 58.2}, {'start': 60.4, 'end': 76.9}, {'start': 79.1, 'end': 88.5}, {'start': 90.0, 'end': 119.4}]",15.114285714285716,13.639999999999986,8,"[{'start': 0, 'end': 2.2}, {'start': 35.5, 'end': 1.1000000000000014}, {'start': 41.7, 'end': 3.0}, {'start': 52.7, 'end': 1.3999999999999986}, {'start': 58.2, 'end': 2.1999999999999957}, {'start': 76.9, 'end': 2.1999999999999886}, {'start': 88.5, 'end': 1.5}, {'start': 119.4, 'end': 0.03999999999999204}]",1.7049999999999983
N-0993-RAT-1-bike.wav,30.200000000000003,4,"[{'start': 4.0, 'end': 8.3}, {'start': 9.3, 'end': 19.2}, {'start': 20.8, 'end': 29.1}, {'start': 30.9, 'end': 38.6}]",7.550000000000001,12.719999999999999,5,"[{'start': 0, 'end': 4.0}, {'start': 8.3, 'end': 1.0}, {'start': 19.2, 'end': 1.6000000000000014}, {'start': 29.1, 'end': 1.7999999999999972}, {'start': 38.6, 'end': 4.32}]",2.5439999999999996
N-0986-RAT-1-robb.wav,15.879999999999999,3,"[{'start': 1.7, 'end': 4.1}, {'start': 5.6, 'end': 18.0}, {'start': 19.3, 'end': 20.38}]",5.293333333333333,4.5,4,"[{'start': 0, 'end': 1.7}, {'start': 4.1, 'end': 1.5}, {'start': 18.0, 'end': 1.3000000000000007}, {'start': 20.38, 'end': 0.0}]",1.125
N-1018-RAT-1-robb.wav,11.299999999999995,4,"[{'start': 2.8, 'end': 10.1}, {'start': 11.5, 'end': 12.9}, {'start': 14.4, 'end': 16.4}, {'start': 19.8, 'end': 20.4}]",2.824999999999999,10.340000000000005,5,"[{'start': 0, 'end': 2.8}, {'start': 10.1, 'end': 1.4000000000000004}, {'start': 12.9, 'end': 1.5}, {'start': 16.4, 'end': 3.400000000000002}, {'start': 20.4, 'end': 1.240000000000002}]",2.068000000000001
N-1017-RAT-1-bike.wav,36.49999999999999,3,"[{'start': 0.3, 'end': 18.8}, {'start': 19.8, 'end': 36.4}, {'start': 38.6, 'end': 40.0}]",12.166666666666664,3.500000000000007,4,"[{'start': 0, 'end': 0.3}, {'start': 18.8, 'end': 1.0}, {'start': 36.4, 'end': 2.200000000000003}, {'start': 40.0, 'end': 0.0}]",0.8750000000000018
N-0965-RAT-1-robb.wav,15.2,1,"[{'start': 1.5, 'end': 16.7}]",15.2,1.5399999999999991,2,"[{'start': 0, 'end': 1.5}, {'start': 16.7, 'end': 0.03999999999999915}]",0.7699999999999996
N-0997-RAT-1-bike.wav,24.759999999999998,5,"[{'start': 2.9, 'end': 10.2}, {'start': 12.4, 'end': 15.9}, {'start': 18.1, 'end': 25.1}, {'start': 30.1, 'end': 33.2}, {'start': 36.1, 'end': 39.96}]",4.952,15.200000000000003,6,"[{'start': 0, 'end': 2.9}, {'start': 10.2, 'end': 2.200000000000001}, {'start': 15.9, 'end': 2.200000000000001}, {'start': 25.1, 'end': 5.0}, {'start': 33.2, 'end': 2.8999999999999986}, {'start': 39.96, 'end': 0.0}]",2.5333333333333337
N-0925-RAT-1-bike.wav,34.1,7,"[{'start': 8.1, 'end': 10.3}, {'start': 11.4, 'end': 14.7}, {'start': 16.2, 'end': 18.9}, {'start': 20.4, 'end': 22.3}, {'start': 23.7, 'end': 38.1}, {'start': 39.5, 'end': 47.5}, {'start': 49.6, 'end': 51.2}]",4.871428571428572,22.479999999999997,8,"[{'start': 0, 'end': 8.1}, {'start': 10.3, 'end': 1.0999999999999996}, {'start': 14.7, 'end': 1.5}, {'start': 18.9, 'end': 1.5}, {'start': 22.3, 'end': 1.3999999999999986}, {'start': 38.1, 'end': 1.3999999999999986}, {'start': 47.5, 'end': 2.1000000000000014}, {'start': 51.2, 'end': 5.3799999999999955}]",2.8099999999999996
N-0970-RAT-1-robb.wav,123.86,3,"[{'start': 1.9, 'end': 100.7}, {'start': 102.0, 'end': 118.6}, {'start': 119.9, 'end': 128.36}]",41.28666666666667,4.500000000000014,4,"[{'start': 0, 'end': 1.9}, {'start': 100.7, 'end': 1.2999999999999972}, {'start': 118.6, 'end': 1.3000000000000114}, {'start': 128.36, 'end': 0.0}]",1.1250000000000036
N-1005-RAT-1-bike.wav,37.9,9,"[{'start': 5.0, 'end': 8.6}, {'start': 10.2, 'end': 13.5}, {'start': 14.8, 'end': 18.6}, {'start': 20.8, 'end': 22.5}, {'start': 23.7, 'end': 24.3}, {'start': 28.2, 'end': 28.8}, {'start': 30.2, 'end': 47.4}, {'start': 48.5, 'end': 49.8}, {'start': 54.1, 'end': 59.9}]",4.211111111111111,28.839999999999996,10,"[{'start': 0, 'end': 5.0}, {'start': 8.6, 'end': 1.5999999999999996}, {'start': 13.5, 'end': 1.3000000000000007}, {'start': 18.6, 'end': 2.1999999999999993}, {'start': 22.5, 'end': 1.1999999999999993}, {'start': 24.3, 'end': 3.8999999999999986}, {'start': 28.8, 'end': 1.3999999999999986}, {'start': 47.4, 'end': 1.1000000000000014}, {'start': 49.8, 'end': 4.300000000000004}, {'start': 59.9, 'end': 6.839999999999996}]",2.8839999999999995
